Id,FirstName,LastName,Company,Status,LeadSource,CreatedDate,AnnualRevenue,Sector,ProductInterest,State
00Q42eebf1e14d4,Jack,Anderson,Vandelay Ind 83,Working,LinkedIn,2025-03-26,2345886,Financial Services,Group Health Insurance,Parana
00Q7195a0ff8a4b,Kelly,Miller,Vandelay Ind 74,New,Referral,2025-07-13,6712734,Financial Services,Group Health Insurance,Rio de Janeiro
00Qb90a1e0db518,Ivy,White,Wayne Ent 37,Working,Referral,2025-01-26,11753587,Financial Services,Directors & Officers (D&O),Santa Catarina
00Q39dddcf3f10d,Grace,Davis,Umbrella Corp 16,Working,Referral,2025-01-13,560657,Insurance,Pension Fund Management,Sao Paulo
00Q073a0f4ea511,Mia,Johnson,Umbrella Corp 84,New,LinkedIn,2025-02-27,501082,Insurance,Cyber Liability Insurance,Santa Catarina
00Qd936932aa114,David,Harris,Stark Ind 43,Working,Trade Show,2025-02-15,586273,Healthcare,Directors & Officers (D&O),Sao Paulo
00Q95b5ae4712f1,Charlie,Moore,Wayne Ent 36,New,Web,2025-10-24,1622824,Retail,Cyber Liability Insurance,Santa Catarina
00Q74f0224dc16c,John,Jackson,Tyrell Corp 51,Closed - Not Converted,Trade Show,2025-10-20,1087786,Insurance,Group Health Insurance,Distrito Federal
00Q899fdb60b109,Jane,Jackson,Tyrell Corp 86,Working,Referral,2025-02-19,3252327,Financial Services,Cyber Liability Insurance,Minas Gerais
00Q2a2d765d5afc,David,Williams,Oscorp 24,Nurturing,Trade Show,2025-04-20,4406591,Financial Services,Commercial Property,Rio de Janeiro
00Qf01a65d6cf66,Jack,Anderson,Dunder Mifflin 25,Nurturing,Referral,2025-05-06,217392,Insurance,Group Health Insurance,Minas Gerais
00Qee89343a2e3d,Frank,Davis,Gekko & Co 29,New,Referral,2025-07-29,1391460,Retail,Pension Fund Management,Sao Paulo
00Q109dec888a6a,Alice,Smith,Vandelay Ind 59,Nurturing,LinkedIn,2025-01-12,2147518,Financial Services,Cyber Liability Insurance,Distrito Federal
00Qa8a1f594bfd3,Mia,Harris,Hooli 83,Working,Partner,2025-08-20,1506513,Financial Services,Group Health Insurance,Distrito Federal
00Q49db3ee92a0a,John,Davis,Cyberdyne 8,New,Cold Call,2025-04-24,141710,Insurance,Corporate Life Insurance,Parana
00Qa5aae2f0b76c,Alice,Williams,Gekko & Co 40,Working,LinkedIn,2025-04-11,1476821,Insurance,Group Health Insurance,Bahia
00Q87731a0616cf,Grace,Davis,Oscorp 61,Working,Referral,2025-03-18,51659840,Financial Services,Directors & Officers (D&O),Sao Paulo
00Qdc33c1fa7879,Grace,Anderson,MomCorp 62,Working,Partner,2025-08-12,6129124,Banking,Cyber Liability Insurance,Distrito Federal
00Qf7819e0d84ad,Jack,Thomas,Wayne Ent 41,New,Web,2025-02-09,9682317,Financial Services,Group Health Insurance,Bahia
00Q3755ecc8d8ec,Charlie,Smith,Acme Corp 74,Working,Referral,2025-05-02,732488,Insurance,Cyber Liability Insurance,Parana
00Q8000cdbdd333,David,Smith,LexCorp 99,Closed - Converted,Referral,2025-11-11,4686264,Financial Services,Cyber Liability Insurance,Santa Catarina
00Qa3e4a3af2e01,Jane,Harris,Tyrell Corp 89,Nurturing,Referral,2025-06-23,501239,Insurance,Fleet Auto Insurance,Rio Grande do Sul
00Q2cabe9415d7d,John,Jackson,Wayne Ent 25,Working,Web,2025-01-19,374671,Insurance,Fleet Auto Insurance,Rio Grande do Sul
00Qf1dcde07e629,Eva,Brown,LexCorp 78,Closed - Not Converted,LinkedIn,2025-09-11,624341,Insurance,Commercial Property,Rio de Janeiro
00Q25615e80e383,Henry,Williams,Tyrell Corp 43,Closed - Not Converted,Partner,2025-03-19,2095038,Financial Services,Fleet Auto Insurance,Sao Paulo
00Q3cb6d3734cb8,Grace,Thomas,Acme Corp 56,New,Referral,2025-09-05,3410700,Financial Services,Pension Fund Management,Minas Gerais
00Q30feb7f7a1e0,Bob,White,Acme Corp 60,Closed - Not Converted,Web,2025-04-21,403172,Insurance,Corporate Life Insurance,Sao Paulo
00Qb95bb2a31c63,John,Wilson,Hooli 81,Nurturing,Trade Show,2025-01-21,57509975,Financial Services,Directors & Officers (D&O),Santa Catarina
00Qf62159b0a657,Eva,Harris,Tyrell Corp 38,New,Referral,2025-05-07,3774224,Banking,Group Health Insurance,Distrito Federal
00Qa516be2152cd,Ivy,Davis,Globex 25,Working,Web,2025-09-26,4184082,Financial Services,Corporate Life Insurance,Bahia
00Q1e683ef6f5d4,Eva,Williams,Wayne Ent 70,New,Web,2025-11-19,48629866,Financial Services,Corporate Life Insurance,Minas Gerais
00Q76ad54e3a019,Kelly,Thomas,Initech 38,Closed - Converted,Cold Call,2025-08-09,23054040,Financial Services,Fleet Auto Insurance,Rio de Janeiro
00Q6a28a4a59dfe,John,White,Massive Dynamic 92,Closed - Converted,Trade Show,2025-11-21,679095,FinTech,Cyber Liability Insurance,Sao Paulo
00Q0eb5647d6f84,Grace,Jackson,Vandelay Ind 74,Closed - Converted,Referral,2025-03-22,21575550,Financial Services,Fleet Auto Insurance,Distrito Federal
00Qe9f7df52d9c7,John,Wilson,Vandelay Ind 35,Working,Partner,2025-05-22,224859,FinTech,Corporate Life Insurance,Rio de Janeiro
00Q96d3a21ecf09,Grace,Taylor,Initech 49,Working,Trade Show,2025-08-06,156797,Insurance,Commercial Property,Sao Paulo
00Q0ccdfc70bbdd,Bob,Moore,Tyrell Corp 95,New,Cold Call,2025-06-21,508150,Insurance,Commercial Property,Bahia
00Q7c3733e76095,Jack,Doe,Gekko & Co 31,Closed - Not Converted,LinkedIn,2025-07-30,8755257,Financial Services,Fleet Auto Insurance,Rio de Janeiro
00Q457d992f08bd,Jane,Brown,Virtucon 13,Nurturing,Trade Show,2025-11-21,6521435,Retail,Cyber Liability Insurance,Rio de Janeiro
00Q3057db22c9d3,Ivy,Thomas,Acme Corp 42,Working,Referral,2025-01-30,1543156,Retail,Fleet Auto Insurance,Rio Grande do Sul
00Q3a152ecbe8e3,Kelly,Thomas,LexCorp 61,New,Trade Show,2025-02-02,3431821,Financial Services,Cyber Liability Insurance,Bahia
00Qbfc666c9cd8e,Bob,Taylor,Acme Corp 2,Working,Partner,2025-10-23,744690,Retail,Commercial Property,Rio Grande do Sul
00Qc665ae32c373,Jane,Brown,Dunder Mifflin 96,Closed - Not Converted,LinkedIn,2025-07-12,2534144,Insurance,Commercial Property,Bahia
00Q44dd934d1c97,Charlie,Brown,Black Mesa 90,New,Trade Show,2025-06-11,7914519,Financial Services,Group Health Insurance,Parana
00Q679b482c39cd,Grace,Harris,Massive Dynamic 56,Working,Partner,2025-05-30,1598949,Insurance,Pension Fund Management,Bahia
00Qdbcbd8f14175,Mia,Doe,Stark Ind 4,Working,Web,2025-01-05,13029774,Financial Services,Cyber Liability Insurance,Parana
00Q1897b44f8e6c,Bob,Doe,LexCorp 89,New,Cold Call,2025-08-25,1111168,Retail,Group Health Insurance,Minas Gerais
00Q2fba4961f49d,Mia,Davis,Massive Dynamic 76,Working,Cold Call,2025-02-26,26236303,Financial Services,Pension Fund Management,Distrito Federal
00Q7127fdf149a5,David,Moore,Globex 85,Nurturing,Partner,2025-06-12,952639,Insurance,Directors & Officers (D&O),Santa Catarina
00Q6b5f412b70c7,Liam,Doe,Oscorp 65,Working,LinkedIn,2025-01-06,1991274,Insurance,Pension Fund Management,Minas Gerais
00Q549b8cb5979d,John,Wilson,MomCorp 63,Working,Web,2025-04-26,4678759,Financial Services,Directors & Officers (D&O),Rio de Janeiro
00Qe3f7b70dd289,Henry,Harris,Vandelay Ind 61,Closed - Converted,Cold Call,2025-08-15,19521117,Financial Services,Corporate Life Insurance,Rio Grande do Sul
00Qcae244b1efd8,Eva,Williams,Initech 47,New,LinkedIn,2025-06-28,14483796,Financial Services,Commercial Property,Minas Gerais
00Q68889a212279,Kelly,Davis,Globex 90,Working,Web,2025-04-15,16250875,Financial Services,Directors & Officers (D&O),Sao Paulo
00Q249fa99a99e9,Charlie,Smith,Dunder Mifflin 29,New,Trade Show,2025-04-08,1900003,Financial Services,Fleet Auto Insurance,Sao Paulo
00Q67ebc3250520,Charlie,Davis,MomCorp 18,Closed - Converted,Referral,2025-02-18,10124626,Banking,Group Health Insurance,Parana
00Qcdcb01f4916a,Eva,Williams,Tyrell Corp 77,New,LinkedIn,2025-08-06,20931316,Financial Services,Pension Fund Management,Parana
00Q4fcfb56c11bf,Alice,Thomas,Initech 3,Closed - Converted,Partner,2025-09-12,14960500,Financial Services,Commercial Property,Bahia
00Qa3a971be19de,Liam,Miller,LexCorp 73,New,Cold Call,2025-06-12,19081694,Financial Services,Pension Fund Management,Santa Catarina
00Q1f7c59c0daa8,Liam,Harris,Wayne Ent 87,Closed - Not Converted,Referral,2025-07-06,534882,Insurance,Cyber Liability Insurance,Distrito Federal
00Qb4f3e8b8627c,Eva,Brown,Cyberdyne 22,Closed - Not Converted,LinkedIn,2025-11-08,1323564,Insurance,Corporate Life Insurance,Rio de Janeiro
00Q1bc07ce5bcb3,Jane,White,Vandelay Ind 85,Closed - Converted,LinkedIn,2025-11-27,6061977,Financial Services,Fleet Auto Insurance,Rio Grande do Sul
00Qb33df0b8acc3,John,Anderson,Stark Ind 55,New,Trade Show,2025-04-01,11679180,Financial Services,Directors & Officers (D&O),Santa Catarina
00Q805bb51cc07a,Henry,Anderson,Globex 10,Working,Trade Show,2025-11-25,2954589,Retail,Fleet Auto Insurance,Rio Grande do Sul
00Q70416f8b3673,Kelly,Johnson,Wayne Ent 9,Working,Cold Call,2025-05-31,503317,Healthcare,Directors & Officers (D&O),Rio de Janeiro
00Qc204b23ea203,Jane,Taylor,Aperture Science 19,Closed - Not Converted,Web,2025-09-27,53823306,Banking,Fleet Auto Insurance,Bahia
00Q42e77cc5d8d8,Henry,Moore,Gekko & Co 3,Working,Web,2025-05-09,1258390,Banking,Directors & Officers (D&O),Santa Catarina
00Qbb14a5d83a4d,Bob,Brown,Globex 40,New,Referral,2025-09-19,1058147,Insurance,Directors & Officers (D&O),Sao Paulo
00Q87dd76af3503,Henry,Brown,Acme Corp 70,Working,Cold Call,2025-06-18,1319904,Insurance,Directors & Officers (D&O),Rio de Janeiro
00Qe170d560dbc3,John,Moore,Cyberdyne 4,Nurturing,Web,2025-11-09,918580,Retail,Cyber Liability Insurance,Rio de Janeiro
00Q0d6e5f345a37,Ivy,Jackson,Black Mesa 83,New,Web,2025-03-07,370190,Insurance,Group Health Insurance,Bahia
00Qe671f3ff17b0,Eva,Brown,Massive Dynamic 49,Nurturing,Cold Call,2025-11-19,25291543,Financial Services,Commercial Property,Santa Catarina
00Q2381d326b9f5,Grace,White,Wayne Ent 41,Working,Partner,2025-07-26,47179448,Financial Services,Group Health Insurance,Santa Catarina
00Q99024ea50530,Grace,Johnson,LexCorp 78,Working,Web,2025-03-01,192942,Retail,Cyber Liability Insurance,Santa Catarina
00Qcfa08f3719f2,Mia,Brown,Dunder Mifflin 19,Nurturing,Partner,2025-06-12,8031142,Banking,Group Health Insurance,Parana
00Q9fb6771cafb8,Henry,Anderson,Cyberdyne 29,New,Referral,2025-09-25,1659066,Financial Services,Commercial Property,Rio de Janeiro
00Q0e469ccad5f6,Ivy,Wilson,Umbrella Corp 71,Closed - Converted,Referral,2025-01-10,17361610,Financial Services,Group Health Insurance,Parana
00Q46b9562960c5,Ivy,Moore,LexCorp 92,Closed - Converted,Trade Show,2025-03-23,5208556,Financial Services,Fleet Auto Insurance,Rio de Janeiro
00Q1ae10e0fe382,John,Doe,Wayne Ent 35,Working,Referral,2025-02-13,8884192,Financial Services,Cyber Liability Insurance,Rio Grande do Sul
00Qc653f6c842c1,Alice,Moore,Wayne Ent 91,Working,Web,2025-10-05,8047396,Financial Services,Commercial Property,Sao Paulo
00Qd14f36e28c07,Eva,Smith,MomCorp 28,New,Partner,2025-04-28,14422060,Financial Services,Directors & Officers (D&O),Distrito Federal
00Q0ae24fc9ce01,Alice,Williams,LexCorp 32,New,LinkedIn,2025-07-24,319187,Retail,Pension Fund Management,Sao Paulo
00Q8610df266a1c,Eva,Williams,Gekko & Co 59,New,Cold Call,2025-01-31,18521025,Banking,Group Health Insurance,Minas Gerais
00Q39a7b8441e38,Jane,Williams,Dunder Mifflin 75,New,Cold Call,2025-03-14,208622,Insurance,Commercial Property,Bahia
00Q40355ec50f73,Jack,Moore,Dunder Mifflin 5,New,Partner,2025-04-18,932115,Healthcare,Corporate Life Insurance,Rio Grande do Sul
00Q7ff7433b18cc,Bob,Wilson,Soylent Corp 98,Closed - Not Converted,Trade Show,2025-09-03,5195438,Banking,Directors & Officers (D&O),Santa Catarina
00Q004e622770e4,Jack,Harris,LexCorp 95,New,Web,2025-09-15,10831040,Financial Services,Cyber Liability Insurance,Parana
00Q4a21b6db09ab,Bob,Johnson,Tyrell Corp 79,Closed - Converted,Web,2025-11-10,6369120,Financial Services,Commercial Property,Bahia
00Q453139b090ea,Jack,Harris,Vandelay Ind 42,New,Partner,2025-08-17,14858968,Financial Services,Corporate Life Insurance,Rio Grande do Sul
00Q3dcf1dc5e6ba,David,Harris,Oscorp 80,Working,Referral,2025-11-17,19283237,Financial Services,Corporate Life Insurance,Bahia
00Qb9a620d84974,Ivy,Wilson,Black Mesa 91,Nurturing,Partner,2025-10-28,11294414,Financial Services,Group Health Insurance,Parana
00Q9bd9d5103874,Frank,Williams,Wayne Ent 26,Closed - Converted,Web,2025-01-21,8472785,Insurance,Corporate Life Insurance,Bahia
00Qf127dc18aefb,David,Williams,Dunder Mifflin 45,Working,Cold Call,2025-04-20,8111687,Insurance,Cyber Liability Insurance,Santa Catarina
00Q2c71c0e523da,Grace,Williams,Aperture Science 43,Closed - Converted,Web,2025-05-03,28582629,Financial Services,Fleet Auto Insurance,Bahia
00Q3521371851b8,John,Doe,Oscorp 78,Closed - Not Converted,Trade Show,2025-06-18,4139571,Banking,Pension Fund Management,Bahia
00Q4a5ace9b438b,Mia,Davis,Umbrella Corp 97,Working,Referral,2025-06-13,4817124,Financial Services,Fleet Auto Insurance,Distrito Federal
00Q53fe0a10af7c,Jane,Moore,Hooli 13,Closed - Converted,Cold Call,2025-04-02,15721976,Financial Services,Group Health Insurance,Minas Gerais
00Qcef4a9682019,Jack,Williams,Soylent Corp 83,New,Cold Call,2025-09-29,4441354,Financial Services,Directors & Officers (D&O),Bahia
00Q2e18dc3bb69d,Frank,Miller,Soylent Corp 71,Closed - Not Converted,Partner,2025-01-17,5233326,Financial Services,Corporate Life Insurance,Sao Paulo
00Q8cbf8d3764ca,Grace,Anderson,Tyrell Corp 40,New,Web,2025-10-24,8313693,Financial Services,Cyber Liability Insurance,Distrito Federal
00Q966a577c0e45,Charlie,Smith,Hooli 86,New,LinkedIn,2025-04-07,4643606,Financial Services,Commercial Property,Rio de Janeiro
00Qc0fd851c74ee,Jane,Smith,Dunder Mifflin 56,Closed - Converted,LinkedIn,2025-05-28,55592568,Financial Services,Corporate Life Insurance,Rio Grande do Sul
00Q2aa39a118380,Ivy,Davis,Soylent Corp 40,New,Cold Call,2025-10-24,1331445,Retail,Corporate Life Insurance,Santa Catarina
00Q1c401c7c9f33,Liam,Williams,Massive Dynamic 62,Working,Trade Show,2025-04-29,12054186,Financial Services,Commercial Property,Sao Paulo
00Q0053450da74d,Bob,Miller,Stark Ind 30,Working,Partner,2025-07-24,599895,Insurance,Directors & Officers (D&O),Bahia
00Q706a5e1b8c35,Charlie,Miller,Globex 29,New,Referral,2025-04-12,5485934,Financial Services,Commercial Property,Parana
00Q3c2ec5594055,Jack,Miller,Hooli 21,New,Trade Show,2025-09-25,15472132,Financial Services,Directors & Officers (D&O),Rio de Janeiro
00Q15698d3c65cf,Bob,Anderson,Cyberdyne 38,New,Referral,2025-01-07,1702697,Banking,Cyber Liability Insurance,Distrito Federal
00Qe08d6aa3506b,Alice,Taylor,Umbrella Corp 39,Working,Referral,2025-02-14,18675554,Financial Services,Commercial Property,Minas Gerais
00Qeac2ffafe8bf,Henry,Anderson,MomCorp 69,Working,Web,2025-09-15,5327025,Financial Services,Pension Fund Management,Sao Paulo
00Q1a257ed9f762,Liam,White,Black Mesa 73,New,LinkedIn,2025-08-30,67346,Insurance,Group Health Insurance,Sao Paulo
00Q16af8e4c9147,Jack,Anderson,Umbrella Corp 6,Closed - Not Converted,Referral,2025-02-05,1047491,Insurance,Fleet Auto Insurance,Bahia
00Qe88855426757,Bob,Moore,MomCorp 27,Closed - Converted,Cold Call,2025-02-04,12747714,Financial Services,Directors & Officers (D&O),Rio Grande do Sul
00Q0b0310ee750b,Henry,Wilson,Massive Dynamic 47,New,LinkedIn,2025-07-01,6258194,Financial Services,Fleet Auto Insurance,Sao Paulo
00Q4002109ecbe8,Bob,Jackson,Umbrella Corp 37,Working,Partner,2025-10-29,4876059,Financial Services,Corporate Life Insurance,Parana
00Qdfcfe570835a,Alice,Jackson,Virtucon 22,Working,LinkedIn,2025-10-27,898205,FinTech,Fleet Auto Insurance,Minas Gerais
00Qca4d2e3cf08c,Bob,Miller,Dunder Mifflin 37,Working,Cold Call,2025-09-20,1410946,FinTech,Directors & Officers (D&O),Sao Paulo
00Q2ef1e4759ee5,Kelly,Brown,Stark Ind 37,New,Web,2025-07-01,12608253,Financial Services,Corporate Life Insurance,Santa Catarina
00Qa0762a52c65c,Ivy,Smith,Black Mesa 21,New,Trade Show,2025-05-24,329216,Insurance,Corporate Life Insurance,Santa Catarina
